title,authors,summary,comment,journal_ref,doi,entry_id,updated,published,primary_category,categories,links,pdf_url
Even $1 \times n$ Edge-Matching and Jigsaw Puzzles are Really Hard,"['Jeffrey Bosboom', 'Erik D. Demaine', 'Martin L. Demaine', 'Adam Hesterberg', 'Pasin Manurangsi', 'Anak Yodpinyanee']","We prove the computational intractability of rotating and placing $n$ square
tiles into a $1 \times n$ array such that adjacent tiles are compatible--either
equal edge colors, as in edge-matching puzzles, or matching tab/pocket shapes,
as in jigsaw puzzles. Beyond basic NP-hardness, we prove that it is NP-hard
even to approximately maximize the number of placed tiles (allowing blanks),
while satisfying the compatibility constraint between nonblank tiles, within a
factor of 0.9999999851. (On the other hand, there is an easy $1 \over
2$-approximation.) This is the first (correct) proof of inapproximability for
edge-matching and jigsaw puzzles. Along the way, we prove NP-hardness of
distinguishing, for a directed graph on $n$ nodes, between having a Hamiltonian
path (length $n-1$) and having at most $0.999999284 (n-1)$ edges that form a
vertex-disjoint union of paths. We use this gap hardness and gap-preserving
reductions to establish similar gap hardness for $1 \times n$ jigsaw and
edge-matching puzzles.","22 pages, 9 figures",,,http://arxiv.org/abs/1701.00146v1,2016-12-31 17:05:53+00:00,2016-12-31 17:05:53+00:00,cs.CC,"['cs.CC', 'cs.CG']","[arxiv.Result.Link('http://arxiv.org/abs/1701.00146v1', title=None, rel='alternate', content_type=None), arxiv.Result.Link('http://arxiv.org/pdf/1701.00146v1', title='pdf', rel='related', content_type=None)]",http://arxiv.org/pdf/1701.00146v1
NIPS 2016 Tutorial: Generative Adversarial Networks,['Ian Goodfellow'],"This report summarizes the tutorial presented by the author at NIPS 2016 on
generative adversarial networks (GANs). The tutorial describes: (1) Why
generative modeling is a topic worth studying, (2) how generative models work,
and how GANs compare to other generative models, (3) the details of how GANs
work, (4) research frontiers in GANs, and (5) state-of-the-art image models
that combine GANs with other methods. Finally, the tutorial contains three
exercises for readers to complete, and the solutions to these exercises.",v2-v4 are all typo fixes. No substantive changes relative to v1,,,http://arxiv.org/abs/1701.00160v4,2017-04-03 21:57:48+00:00,2016-12-31 19:17:17+00:00,cs.LG,['cs.LG'],"[arxiv.Result.Link('http://arxiv.org/abs/1701.00160v4', title=None, rel='alternate', content_type=None), arxiv.Result.Link('http://arxiv.org/pdf/1701.00160v4', title='pdf', rel='related', content_type=None)]",http://arxiv.org/pdf/1701.00160v4
Classification of Smartphone Users Using Internet Traffic,"['Andrey Finkelstein', 'Ron Biton', 'Rami Puzis', 'Asaf Shabtai']","Today, smartphone devices are owned by a large portion of the population and
have become a very popular platform for accessing the Internet. Smartphones
provide the user with immediate access to information and services. However,
they can easily expose the user to many privacy risks. Applications that are
installed on the device and entities with access to the device's Internet
traffic can reveal private information about the smartphone user and steal
sensitive content stored on the device or transmitted by the device over the
Internet. In this paper, we present a method to reveal various demographics and
technical computer skills of smartphone users by their Internet traffic
records, using machine learning classification models. We implement and
evaluate the method on real life data of smartphone users and show that
smartphone users can be classified by their gender, smoking habits, software
programming experience, and other characteristics.",,,,http://arxiv.org/abs/1701.00220v1,2017-01-01 08:12:49+00:00,2017-01-01 08:12:49+00:00,cs.LG,"['cs.LG', 'cs.CR']","[arxiv.Result.Link('http://arxiv.org/abs/1701.00220v1', title=None, rel='alternate', content_type=None), arxiv.Result.Link('http://arxiv.org/pdf/1701.00220v1', title='pdf', rel='related', content_type=None)]",http://arxiv.org/pdf/1701.00220v1
"Closed Sets and Operators thereon: Representations, Computability and Complexity",['Carsten Rösnick-Neugebauer'],"The TTE approach to Computable Analysis is the study of so-called
representations (encodings for continuous objects such as reals, functions, and
sets) with respect to the notions of computability they induce. A rich variety
of such representations had been devised over the past decades, particularly
regarding closed subsets of Euclidean space plus subclasses thereof (like
compact subsets). In addition, they had been compared and classified with
respect to both non-uniform computability of single sets and uniform
computability of operators on sets. In this paper we refine these
investigations from the point of view of computational complexity. Benefiting
from the concept of second-order representations and complexity recently
devised by Kawamura & Cook (2012), we determine parameterized complexity bounds
for operators such as union, intersection, projection, and more generally
function image and inversion. By indicating natural parameters in addition to
the output precision, we get a uniform view on results by Ko (1991-2013),
Braverman (2004/05) and Zhao & M\""uller (2008), relating these problems to the
P/UP/NP question in discrete complexity theory.",,"Logical Methods in Computer Science, Volume 14, Issue 2 (April 10,
  2018) lmcs:4432",10.23638/LMCS-14(2:1)2018,http://arxiv.org/abs/1701.00227v4,2018-04-09 07:07:33+00:00,2017-01-01 11:25:42+00:00,cs.CC,"['cs.CC', 'cs.LO', 'math.LO', '03D15', 'F.4.1']","[arxiv.Result.Link('http://dx.doi.org/10.23638/LMCS-14(2:1)2018', title='doi', rel='related', content_type=None), arxiv.Result.Link('http://arxiv.org/abs/1701.00227v4', title=None, rel='alternate', content_type=None), arxiv.Result.Link('http://arxiv.org/pdf/1701.00227v4', title='pdf', rel='related', content_type=None)]",http://arxiv.org/pdf/1701.00227v4
Outlier Robust Online Learning,"['Jiashi Feng', 'Huan Xu', 'Shie Mannor']","We consider the problem of learning from noisy data in practical settings
where the size of data is too large to store on a single machine. More
challenging, the data coming from the wild may contain malicious outliers. To
address the scalability and robustness issues, we present an online robust
learning (ORL) approach. ORL is simple to implement and has provable robustness
guarantee -- in stark contrast to existing online learning approaches that are
generally fragile to outliers. We specialize the ORL approach for two concrete
cases: online robust principal component analysis and online linear regression.
We demonstrate the efficiency and robustness advantages of ORL through
comprehensive simulations and predicting image tags on a large-scale data set.
We also discuss extension of the ORL to distributed learning and provide
experimental evaluations.",,,,http://arxiv.org/abs/1701.00251v1,2017-01-01 15:18:13+00:00,2017-01-01 15:18:13+00:00,cs.LG,"['cs.LG', 'stat.ML']","[arxiv.Result.Link('http://arxiv.org/abs/1701.00251v1', title=None, rel='alternate', content_type=None), arxiv.Result.Link('http://arxiv.org/pdf/1701.00251v1', title='pdf', rel='related', content_type=None)]",http://arxiv.org/pdf/1701.00251v1
STRIPS Planning in Infinite Domains,"['Caelan Reed Garrett', 'Tomás Lozano-Pérez', 'Leslie Pack Kaelbling']","Many robotic planning applications involve continuous actions with highly
non-linear constraints, which cannot be modeled using modern planners that
construct a propositional representation. We introduce STRIPStream: an
extension of the STRIPS language which can model these domains by supporting
the specification of blackbox generators to handle complex constraints. The
outputs of these generators interact with actions through possibly infinite
streams of objects and static predicates. We provide two algorithms which both
reduce STRIPStream problems to a sequence of finite-domain planning problems.
The representation and algorithms are entirely domain independent. We
demonstrate our framework on simple illustrative domains, and then on a
high-dimensional, continuous robotic task and motion planning domain.",11 pages,,,http://arxiv.org/abs/1701.00287v2,2017-05-28 01:08:00+00:00,2017-01-01 20:37:51+00:00,cs.AI,['cs.AI'],"[arxiv.Result.Link('http://arxiv.org/abs/1701.00287v2', title=None, rel='alternate', content_type=None), arxiv.Result.Link('http://arxiv.org/pdf/1701.00287v2', title='pdf', rel='related', content_type=None)]",http://arxiv.org/pdf/1701.00287v2
Dynamic Deep Neural Networks: Optimizing Accuracy-Efficiency Trade-offs by Selective Execution,"['Lanlan Liu', 'Jia Deng']","We introduce Dynamic Deep Neural Networks (D2NN), a new type of feed-forward
deep neural network that allows selective execution. Given an input, only a
subset of D2NN neurons are executed, and the particular subset is determined by
the D2NN itself. By pruning unnecessary computation depending on input, D2NNs
provide a way to improve computational efficiency. To achieve dynamic selective
execution, a D2NN augments a feed-forward deep neural network (directed acyclic
graph of differentiable modules) with controller modules. Each controller
module is a sub-network whose output is a decision that controls whether other
modules can execute. A D2NN is trained end to end. Both regular and controller
modules in a D2NN are learnable and are jointly trained to optimize both
accuracy and efficiency. Such training is achieved by integrating
backpropagation with reinforcement learning. With extensive experiments of
various D2NN architectures on image classification tasks, we demonstrate that
D2NNs are general and flexible, and can effectively optimize
accuracy-efficiency trade-offs.","fixed typos; updated CIFAR-10 results and added more details;
  corrected the cascade D2NN configuration details",,,http://arxiv.org/abs/1701.00299v3,2018-03-05 02:03:00+00:00,2017-01-02 00:09:14+00:00,cs.LG,"['cs.LG', 'stat.ML']","[arxiv.Result.Link('http://arxiv.org/abs/1701.00299v3', title=None, rel='alternate', content_type=None), arxiv.Result.Link('http://arxiv.org/pdf/1701.00299v3', title='pdf', rel='related', content_type=None)]",http://arxiv.org/pdf/1701.00299v3
An affective computational model for machine consciousness,['Rohitash Chandra'],"In the past, several models of consciousness have become popular and have led
to the development of models for machine consciousness with varying degrees of
success and challenges for simulation and implementations. Moreover, affective
computing attributes that involve emotions, behavior and personality have not
been the focus of models of consciousness as they lacked motivation for
deployment in software applications and robots. The affective attributes are
important factors for the future of machine consciousness with the rise of
technologies that can assist humans. Personality and affection hence can give
an additional flavor for the computational model of consciousness in humanoid
robotics. Recent advances in areas of machine learning with a focus on deep
learning can further help in developing aspects of machine consciousness in
areas that can better replicate human sensory perceptions such as speech
recognition and vision. With such advancements, one encounters further
challenges in developing models that can synchronize different aspects of
affective computing. In this paper, we review some existing models of
consciousnesses and present an affective computational model that would enable
the human touch and feel for robotic systems.",under review,,,http://arxiv.org/abs/1701.00349v1,2017-01-02 09:48:47+00:00,2017-01-02 09:48:47+00:00,cs.AI,['cs.AI'],"[arxiv.Result.Link('http://arxiv.org/abs/1701.00349v1', title=None, rel='alternate', content_type=None), arxiv.Result.Link('http://arxiv.org/pdf/1701.00349v1', title='pdf', rel='related', content_type=None)]",http://arxiv.org/pdf/1701.00349v1
Conceptual Spaces for Cognitive Architectures: A Lingua Franca for Different Levels of Representation,"['Antonio Lieto', 'Antonio Chella', 'Marcello Frixione']","During the last decades, many cognitive architectures (CAs) have been
realized adopting different assumptions about the organization and the
representation of their knowledge level. Some of them (e.g. SOAR [Laird
(2012)]) adopt a classical symbolic approach, some (e.g. LEABRA [O'Reilly and
Munakata (2000)]) are based on a purely connectionist model, while others (e.g.
CLARION [Sun (2006)] adopt a hybrid approach combining connectionist and
symbolic representational levels. Additionally, some attempts (e.g. biSOAR)
trying to extend the representational capacities of CAs by integrating
diagrammatical representations and reasoning are also available [Kurup and
Chandrasekaran (2007)]. In this paper we propose a reflection on the role that
Conceptual Spaces, a framework developed by Peter G\""ardenfors [G\""ardenfors
(2000)] more than fifteen years ago, can play in the current development of the
Knowledge Level in Cognitive Systems and Architectures. In particular, we claim
that Conceptual Spaces offer a lingua franca that allows to unify and
generalize many aspects of the symbolic, sub-symbolic and diagrammatic
approaches (by overcoming some of their typical problems) and to integrate them
on a common ground. In doing so we extend and detail some of the arguments
explored by G\""ardenfors [G\""ardenfors (1997)] for defending the need of a
conceptual, intermediate, representation level between the symbolic and the
sub-symbolic one.","31 pages, 3 figures in Biologically Inspired Cognitive Architectures,
  2017",,10.1016/j.bica.2016.10.005,http://arxiv.org/abs/1701.00464v1,2017-01-02 17:35:34+00:00,2017-01-02 17:35:34+00:00,cs.AI,['cs.AI'],"[arxiv.Result.Link('http://dx.doi.org/10.1016/j.bica.2016.10.005', title='doi', rel='related', content_type=None), arxiv.Result.Link('http://arxiv.org/abs/1701.00464v1', title=None, rel='alternate', content_type=None), arxiv.Result.Link('http://arxiv.org/pdf/1701.00464v1', title='pdf', rel='related', content_type=None)]",http://arxiv.org/pdf/1701.00464v1
Two-Bit Networks for Deep Learning on Resource-Constrained Embedded Devices,"['Wenjia Meng', 'Zonghua Gu', 'Ming Zhang', 'Zhaohui Wu']","With the rapid proliferation of Internet of Things and intelligent edge
devices, there is an increasing need for implementing machine learning
algorithms, including deep learning, on resource-constrained mobile embedded
devices with limited memory and computation power. Typical large Convolutional
Neural Networks (CNNs) need large amounts of memory and computational power,
and cannot be deployed on embedded devices efficiently. We present Two-Bit
Networks (TBNs) for model compression of CNNs with edge weights constrained to
(-2, -1, 1, 2), which can be encoded with two bits. Our approach can reduce the
memory usage and improve computational efficiency significantly while achieving
good performance in terms of classification accuracy, thus representing a
reasonable tradeoff between model size and performance.",,,,http://arxiv.org/abs/1701.00485v2,2017-01-04 13:54:51+00:00,2017-01-02 04:28:16+00:00,cs.LG,"['cs.LG', 'cs.CV']","[arxiv.Result.Link('http://arxiv.org/abs/1701.00485v2', title=None, rel='alternate', content_type=None), arxiv.Result.Link('http://arxiv.org/pdf/1701.00485v2', title='pdf', rel='related', content_type=None)]",http://arxiv.org/pdf/1701.00485v2
